0,0,0,0,0,0,0,0,0,0,0,0,4346,4346,79,0,31,0,194,269,288,342,703,1058,232,299,366,195,267,287,341,701,1054,232,299,365,1168,94,63,81,63,79,79,79,97,79,89,137,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,101,0,0,0,0,0,0,26,26,26,35,44,66,1800,1800,1800,1800,1800,1800,54,54,54,54,54,54,0,0,0,0,0
pair_id,iid,id_in_group,pid,pid_in_group,wave,participants,order,gender,match,p_dec,i_dec,i_call,p_call,interest_corr,samerace,p_age,p_race,p_rate_i_attr,p_rate_i_sinc,p_rate_i_intel,p_rate_i_fun,p_rate_i_amb,p_rate_i_shar,p_rate_i_like,p_rate_prob,p_met_before,i_rate_p_attr,i_rate_p_sinc,i_rate_p_intel,i_rate_p_fun,i_rate_p_amb,i_rate_p_shar,i_rate_p_like,i_rate_prob,i_met_before,i_est_matches,i_age,i_field,i_field_num,i_race,i_imp_race,i_imp_relig,i_goal,i_dat_freq,i_out_freq,i_career,i_career_num,i_like_sports,i_like_tvsports,i_like_exercise,i_like_dining,i_like_museums,i_like_art,i_like_hiking,i_like_gaming,i_like_clubbing,i_like_reading,i_like_tv,i_like_theater,i_like_movies,i_like_concerts,i_like_music,i_like_shopping,i_like_yoga,i_exp_happy,p_pref_attr,p_pref_sinc,p_pref_intel,p_pref_fun,p_pref_amb,p_pref_shar,i_pref_attr,i_pref_sinc,i_pref_intel,i_pref_fun,i_pref_amb,i_pref_shar,gender_pref_attr,gender_pref_sinc,gender_pref_intel,gender_pref_fun,gender_pref_amb,gender_pref_shar,oppgender_pref_attr,oppgender_pref_sinc,oppgender_pref_intel,oppgender_pref_fun,oppgender_pref_amb,oppgender_pref_shar,i_rate_i_attr,i_rate_i_sinc,i_rate_i_fun,i_rate_i_intel,i_rate_i_amb
1-11,1,1,11,1,1,10,4,0,0,0,1,1,1,0.14,0,27,2,6,8,8,8,8,6,7,4,2,6,9,7,7,6,5,7,6,2,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,35,20,20,20,0,5,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
1-12,1,1,12,2,1,10,3,0,0,0,1,1,1,0.54,0,22,2,7,8,10,7,7,5,8,4,2,7,8,7,8,5,6,7,5,1,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,60,0,0,40,0,0,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
1-13,1,1,13,3,1,10,10,0,1,1,1,1,1,0.16,1,22,4,10,10,10,10,10,10,10,10,1,5,8,9,8,5,7,7,,1,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,19,18,19,18,14,12,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
1-14,1,1,14,4,1,10,5,0,1,1,1,1,1,0.61,0,23,2,7,8,9,8,9,8,7,7,2,7,6,8,7,6,8,7,6,2,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,30,5,15,40,5,5,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
1-15,1,1,15,5,1,10,7,0,1,1,1,1,1,0.21,0,24,3,8,7,9,6,9,7,8,6,2,5,6,7,7,6,6,6,6,2,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,30,10,20,10,10,20,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
1-16,1,1,16,6,1,10,6,0,0,1,0,1,1,0.25,0,25,2,7,7,8,8,7,7,7,6,2,4,9,7,4,6,4,6,5,2,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,50,0,30,10,0,10,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
1-17,1,1,17,7,1,10,1,0,0,0,1,1,1,0.34,0,30,2,3,6,7,5,8,7,2,1,2,7,6,7,4,6,7,6,5,2,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,35,15,25,10,5,10,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
1-18,1,1,18,8,1,10,2,0,0,0,0,1,1,0.5,0,27,2,6,7,5,6,8,6,7,5,2,4,9,7,6,5,6,6,7,,4,21,Law,1,4,2,4,2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,33.33,11.11,11.11,11.11,11.11,22.22,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,6,8,8,8,7
